notice_id,portal_id,candidate_count,retrieval_time_ms
N004433,P004,1683,0.074
N004441,P004,1222,0.055
N004449,P221,115,0.015
N004457,P215,361,0.015
N004465,P002,2215,0.09
N004473,P128,2540,0.072
N004481,P001,1539,0.068
N004489,P006,1616,0.058
N004497,P094,957,0.033
N004505,P094,1024,0.032
N004513,P005,2488,0.122
N004521,P020,288,0.029
N004529,P131,2193,0.049
N004537,P005,2163,0.091
N004545,P049,366,0.032
N004553,P094,1166,0.032
N004561,P001,1976,0.063
N004569,P003,867,0.044
N004577,P020,510,0.023
N004585,P215,640,0.023
N004593,P013,105,0.012
N004601,P240,902,0.023
N004609,P002,2391,0.101
N004617,P002,2165,0.089
N004625,P001,2270,0.117
N004633,P003,1961,0.09
N004641,P141,533,0.025
N004649,P181,538,0.016
N004657,P004,1426,0.047
N004665,P065,710,0.032
N004673,P191,2152,0.047
N004681,P217,2317,0.056
N004689,P240,2098,0.056
N004697,P094,446,0.027
N004705,P088,1592,0.041
N004713,P255,2782,0.08
N004721,P002,2185,0.097
N004729,P004,1370,0.056
N004737,P003,1104,0.049
N004745,P049,622,0.028
N004753,P246,166,0.013
N004761,P189,2417,0.052
N004769,P006,1128,0.055
N004777,P005,2414,0.101
N004785,P005,1980,0.074
N004793,P005,2158,0.1
N004801,P002,2167,0.088
N004809,P001,2106,0.095
N004817,P004,1598,0.067
N004825,P246,1810,0.059
N004833,P006,1425,0.05
N004841,P003,936,0.042
N004849,P199,1335,0.044
N004857,P094,2156,0.065
N004865,P146,1452,0.043
N004873,P065,1556,0.054
N004881,P166,1026,0.057
N004889,P005,2200,0.08
N004897,P094,828,0.041
N004905,P218,1000,0.028
N004913,P021,1442,0.05
N004921,P045,1735,0.049
N004929,P094,902,0.033
N004937,P004,1704,0.09
N004945,P005,2328,0.136
N004953,P094,1755,0.06
N004961,P003,1252,0.063
N004969,P001,2302,0.128
N004977,P077,2616,0.093
N004985,P238,2644,0.083
N004993,P005,2273,0.142
N005001,P018,1017,0.048
N005009,P004,1664,0.053
N005017,P120,2309,0.056
N005025,P240,3176,0.102
N005033,P050,659,0.04
N005041,P146,344,0.018
N005049,P094,956,0.045
N005057,P200,1187,0.036
N005065,P060,3246,0.111
N005073,P061,3023,0.083
N005081,P213,835,0.044
N005089,P020,469,0.018
N005097,P215,1023,0.03
N005105,P250,1378,0.046
N005113,P091,720,0.032
N005121,P232,380,0.022
N005129,P094,2031,0.042
N005137,P154,1061,0.039
N005145,P094,1653,0.04
N005153,P116,821,0.031
N005161,P143,1674,0.054
N005169,P003,1479,0.07
N005177,P004,431,0.027
N005185,P131,243,0.013
N005193,P240,856,0.027
N005201,P004,1336,0.057
N005209,P069,791,0.036
N005217,P005,2307,0.093
N005225,P004,737,0.038
N005233,P003,1815,0.069
N005241,P227,1148,0.035
N005249,P001,2227,0.075
N005257,P002,2221,0.095
N005265,P004,1572,0.06
N005273,P002,2159,0.087
N005281,P118,2428,0.098
N005289,P005,2251,0.118
N005297,P006,1483,0.056
N005305,P094,983,0.038
N005313,P094,2276,0.051
N005321,P044,450,0.03
N005329,P131,672,0.018
N005337,P003,1197,0.054
N005345,P001,2262,0.103
N005353,P005,2185,0.103
N005361,P183,977,0.042
N005369,P005,2285,0.095
N005377,P094,1452,0.063
N005385,P002,2400,0.123
N005393,P211,1251,0.056
N005401,P106,1925,0.056
N005409,P094,732,0.034
N005417,P044,1798,0.046
N005425,P146,628,0.032
N005433,P094,674,0.026
N005441,P146,727,0.026
N005449,P094,2783,0.065
N005457,P186,557,0.034
N005465,P020,1760,0.045
N005473,P001,2286,0.125
N005481,P142,175,0.026
N005489,P003,1092,0.038
N005497,P003,1659,0.066
N005505,P073,484,0.028
N005513,P001,2227,0.101
N005521,P181,2036,0.055
N005529,P075,2018,0.049
N005537,P088,982,0.033
N005545,P059,1701,0.046
N005553,P106,685,0.026
N005561,P094,1769,0.045
N005569,P094,1973,0.046
N005577,P048,429,0.027
N005585,P020,1074,0.034
N005593,P004,1520,0.058
N005601,P094,1487,0.053
N005609,P240,821,0.037
N005617,P002,2186,0.08
N005625,P041,2242,0.062
N005633,P006,1994,0.089
N005641,P253,800,0.031
N005649,P020,530,0.02
N005657,P202,65,0.009
N005665,P001,2200,0.09
N005673,P014,1537,0.056
N005681,P005,2029,0.073
N005689,P005,2177,0.091
N005697,P166,2085,0.053
N005705,P143,2335,0.075
N005713,P077,1872,0.054
N005721,P023,1995,0.049
N005729,P001,2251,0.075
N005737,P005,2325,0.133
N005745,P240,2002,0.06
N005753,P069,1931,0.047
N005761,P006,1501,0.066
N005769,P094,1075,0.038
N005777,P094,799,0.025
N005785,P197,872,0.027
N005793,P002,1660,0.059
